days,filter,microJy,GHz
0.57,10 GHz,>144.0,9.7
0.68,10 GHz,>120.0,8.5
0.68,10 GHz,>150.0,10.5
0.93,10 GHz,>195.0,0.61
1.43,10 GHz,>126.0,338.0
1.44,10 GHz,>13.8,10.0
1.44,10 GHz,>34800.0,0.34
2.41,10 GHz,>75.0,97.5
2.42,10 GHz,>17.7,15.0
2.43,10 GHz,>20.0,6.2
2.43,10 GHz,>17.0,9.7
2.43,10 GHz,>22.0,15.0
2.44,10 GHz,>28000.0,0.34
2.44,10 GHz,>17.1,10.0
2.46,10 GHz,>21.9,6.0
2.78,10 GHz,>780.0,0.4
2.93,10 GHz,>98.0,1.2
3.23,10 GHz,>90.0,338.0
3.34,10 GHz,>32.0,3.0
3.34,10 GHz,>44700.0,0.34
3.67,10 GHz,>135.0,8.5
3.67,10 GHz,>99.0,10.5
5.48,10 GHz,>28.5,10.0
7.9,10 GHz,>69.0,1.39
8.29,10 GHz,>17.4,10.0
8.37,10 GHz,>37500.0,0.34
8.43,10 GHz,>150.0,338.0
9.43,10 GHz,>102.0,338.0
9.43,10 GHz,>72.0,97.5
10.6,10 GHz,>54.0,8.5
10.6,10 GHz,>39.0,10.5
11.9,10 GHz,>123.0,0.7
13.4,10 GHz,>18.3,10.0
13.5,10 GHz,>20400.0,0.34
13.5,10 GHz,>17.0,6.2
13.9,10 GHz,>600.0,0.4
15.3,10 GHz,>39.0,97.5
15.4,10 GHz,>13.0,6.2
15.4,10 GHz,>11400.0,0.34
16.4,10 GHz,>11700.0,0.34
16.4,10 GHz,18.7,3.0
16.5,10 GHz,>15.0,6.2
17.4,10 GHz,15.1,3.0
17.4,10 GHz,>6900.0,0.34
17.5,10 GHz,>15.0,6.2
18.3,10 GHz,14.5,3.0
18.7,10 GHz,15.4,7.25
19.0,10 GHz,>140.0,0.7
19.4,10 GHz,15.9,6.2
19.4,10 GHz,>13.5,10.0
19.4,10 GHz,19.0,6.0
19.5,10 GHz,>14.0,10.0
21.4,10 GHz,>8100.0,0.34
21.4,10 GHz,13.6,6.2
22.4,10 GHz,22.5,3.0
22.4,10 GHz,>6300.0,0.34
23.0,10 GHz,>108.0,1.39
23.4,10 GHz,>4800.0,0.34
23.4,10 GHz,22.6,6.0
24.2,10 GHz,25.6,3.0
24.3,10 GHz,>6600.0,0.34
29.8,10 GHz,>126.0,1.39
29.7,10 GHz,>246.0,0.68
30.3,10 GHz,>42.0,97.5
31.3,10 GHz,34.0,3.0
35.3,10 GHz,44.0,1.5
36.9,10 GHz,>40.0,1.6
39.2,10 GHz,22.8,6.0
39.4,10 GHz,>18.0,15.0
44.1,10 GHz,>93.0,338.0
46.3,10 GHz,44.0,3.0
51.5,10 GHz,>60.0,3.2
53.3,10 GHz,32.0,6.0
54.3,10 GHz,48.0,3.0
57.2,10 GHz,61.0,3.0
65.9,10 GHz,148.0,0.67
66.6,10 GHz,98.0,1.3
67.2,10 GHz,42.6,6.0
72.2,10 GHz,58.0,4.5
75.5,10 GHz,35.9,7.35
77.6,10 GHz,97.0,1.4
79.2,10 GHz,45.0,4.5
80.1,10 GHz,41.7,6.0
92.4,10 GHz,31.7,7.25
75.5,10 GHz,39.6,7.35
93.1,10 GHz,98.0,1.5
93.1,10 GHz,70.0,3.0
93.2,10 GHz,26.0,15.0
97.1,10 GHz,199.0,0.67
107.0,10 GHz,141.0,1.3
107.0,10 GHz,53.2,1.3
112.0,10 GHz,62.9,6.0
115.0,10 GHz,96.2,3.0
115.0,10 GHz,51.2,10.0
115.0,10 GHz,41.2,15.0
125.0,10 GHz,58.2,7.25
125.0,10 GHz,149.0,1.3
126.0,10 GHz,221.0,0.67
134.0,10 GHz,>6300.0,0.114
149.0,10 GHz,60.6,7.25
150.0,10 GHz,90.0,5.1
152.0,10 GHz,171.0,1.3
155.0,10 GHz,151.0,1.3
163.0,10 GHz,97.3,3.0
163.0,10 GHz,67.3,6.0
163.0,10 GHz,47.4,10.0
163.0,10 GHz,39.6,15.0
167.0,10 GHz,57.9,7.25
183.0,10 GHz,211.0,0.65
187.0,10 GHz,>83.0,5.1
197.0,10 GHz,75.9,3.0
197.0,10 GHz,107.0,1.3
198.0,10 GHz,>90.0,5.1
207.0,10 GHz,42.0,5.0
210.0,10 GHz,>60.0,5.2
216.0,10 GHz,36.3,10.0
217.0,10 GHz,60.5,3.0
217.0,10 GHz,41.7,6.0
217.0,10 GHz,32.6,10.0
217.0,10 GHz,24.7,15.0
218.0,10 GHz,64.7,3.0
222.0,10 GHz,39.7,7.25
229.0,10 GHz,48.0,4.5
252.0,10 GHz,74.0,1.3
257.0,10 GHz,43.2,3.0
261.0,10 GHz,66.0,1.3
267.0,10 GHz,25.0,7.25
267.0,10 GHz,40.3,3.0
273.0,10 GHz,34.8,3.0
273.0,10 GHz,27.2,6.0
275.0,10 GHz,>153.0,0.65
289.0,10 GHz,36.3,3.0
289.0,10 GHz,27.0,6.0
294.0,10 GHz,31.2,3.0
298.0,10 GHz,23.4,7.25
320.0,10 GHz,23.1,7.25
324.0,10 GHz,47.2,1.3
359.0,10 GHz,15.5,7.25
372.0,10 GHz,>18600.0,0.114
380.0,10 GHz,37.9,1.3
391.0,10 GHz,>13.0,7.25
461.0,10 GHz,>11.0,7.25
489.0,10 GHz,14.8,3.0
496.0,10 GHz,>22.0,1.3
515.0,10 GHz,>13.0,7.25
545.0,10 GHz,5.9,6.0
580.0,10 GHz,>18.0,7.25
734.0,10 GHz,>8.4,6.0
760.0,10 GHz,>13.0,7.25
767.0,10 GHz,4.9,3.0
0.6,10 GHz,>0.0078,241000000.0
0.7,10 GHz,>0.00073,1200000000.0
1.0,10 GHz,>0.075,241000000.0
1.1,10 GHz,>0.005,241000000.0
1.5,10 GHz,>0.0037,241000000.0
2.1,10 GHz,>0.0029,241000000.0
2.3,10 GHz,>0.0038,241000000.0
2.4,10 GHz,>0.000224,241000000.0
2.6,10 GHz,>0.004,241000000.0
2.9,10 GHz,>0.0011,241000000.0
3.6,10 GHz,>0.0019,241000000.0
4.4,10 GHz,>0.00058,1200000000.0
4.5,10 GHz,>0.0018,241000000.0
5.8,10 GHz,>0.002,241000000.0
6.5,10 GHz,>0.0022,241000000.0
9.5,10 GHz,>0.0025,241000000.0
10.9,10 GHz,>0.004,241000000.0
11.5,10 GHz,>0.0017,241000000.0
12.5,10 GHz,>0.0016,241000000.0
13.6,10 GHz,>0.0011,241000000.0
14.7,10 GHz,>0.0013,241000000.0
14.9,10 GHz,0.000511,241000000.0
15.9,10 GHz,>0.0043,241000000.0
18.2,10 GHz,>0.0018,1200000000.0
19.1,10 GHz,>0.0012,1200000000.0
20.2,10 GHz,>0.00092,1200000000.0
35.0,10 GHz,>0.00046,1200000000.0
103.0,10 GHz,>0.0026,1000000000.0
103.0,10 GHz,>0.002,3000000000.0
109.0,10 GHz,0.002117,241000000.0
133.0,10 GHz,0.002194,241000000.0
158.0,10 GHz,0.002187,241000000.0
161.0,10 GHz,0.001738,241000000.0
259.0,10 GHz,0.00115,241000000.0
357.0,10 GHz,0.000712,241000000.0
581.0,10 GHz,0.000263,241000000.0
741.0,10 GHz,0.000219,241000000.0
938.0,10 GHz,0.00013,241000000.0
109.0,10 GHz,>0.363,188000.0
109.0,10 GHz,0.109,380000.0
109.0,10 GHz,>0.276,214000.0
111.0,10 GHz,0.111,506000.0
137.0,10 GHz,0.084,506000.0
165.0,10 GHz,0.091,506000.0
170.0,10 GHz,0.113,380000.0
172.0,10 GHz,0.085,506000.0
209.0,10 GHz,0.082,506000.0
218.0,10 GHz,0.063,506000.0
297.0,10 GHz,0.044,506000.0
328.0,10 GHz,0.034,506000.0
337.0,10 GHz,>0.048,506000.0
355.0,10 GHz,>0.058,380000.0
362.0,10 GHz,0.027,506000.0
584.0,10 GHz,>0.019,506000.0
